	lemma	gold	hypo	target tag
8	stapsgewijs	stapsgewijze	stapsgewijse	ADJ;DEF
14	langgerokt	langergerokt	langgerokte	ADJ;DEF
15	dichtbij	dichterbije	dichterbere	ADJ;DEF;CMPR
4	impopulair	impopulairder	impopulaire	ADJ;INDF;NEUT;SG;CMPR
28	Victoriaans	Victoriaanste	Victoriaansere	ADJ;INDF;NEUT;SG;SPRL
2	goedgeefs	goedsgevere	goedgevere	ADJ;INDF;NEUT;SG;SPRL
7	vakkundig	vakkundigere	vakkundiger	ADJ;INDF;PL;CMPR
10	leip	leipere	leiper	ADJ;INDF;PL;CMPR
20	doorwrocht	doorwrochter	doorwrochtere	ADJ;INDF;PL;CMPR
18	dankloos	danklozere	danklozer	ADJ;INDF;PL;CMPR
26	vlechten	gevlochten	gevlecht	V.PTCP;PST
24	dragen	gedragen	gedragd	V.PTCP;PST
23	beroeren	beroerd	geberoerd	V.PTCP;PST
22	upgraden	geüpgraded	geupgraden	V.PTCP;PST
30	bevechten	bevochten	bevocht	V.PTCP;PST
12	hernieuwen	hernieuwd	gehernieuwd	V.PTCP;PST
11	voetballen	gevoetbald	voetbald	V.PTCP;PST
0	willen	wil	wilt	V;IND;PRS;3;SG
29	printen	printte	pront	V;IND;PST;1;SG
3	rieken	rook	riekte	V;IND;PST;1;SG
1	snuffen	snufte	snofte	V;IND;PST;1;SG
16	zenden	zond	zendde	V;IND;PST;2;SG
21	ontnemen	ontnam	ontneemde	V;IND;PST;2;SG
25	ontkleden	ontkleeden	ontkleden	V;NFIN
17	verschuiven	verschoven	verschoofen	V;SBJV;PST;PL
9	upgraden	upgradeden	upgraden	V;SBJV;PST;PL
13	echoën	echoden	echooden	V;SBJV;PST;PL
19	besterven	bestierve	besterfde	V;SBJV;PST;SG
6	overwegen	overwoge	overweegde	V;SBJV;PST;SG
5	versjteren	versjteerde	versjterde	V;SBJV;PST;SG
27	scherpen	scherpte	schierpe	V;SBJV;PST;SG
