	lemma	gold	hypo	target tag
25	priss	prisss	prisses	V;3;SG;PRS
21	dis	disses	dis	V;3;SG;PRS
13	write-off	write-off	writing-off	V;NFIN
24	forwean	forweaned	forweant	V;PST
19	unshape	unshope	unshaped	V;PST
17	bivy	bivyed	bivied	V;PST
15	floodlight	floodlighted	floodlit	V;PST
26	offsplit	offsplit	offsplitted	V;PST
10	forsee	forsaw	forseed	V;PST
0	enwind	enwound	enwinded	V;PST
8	angel	angeled	angelled	V;PST
3	forhele	forhole	forheled	V;PST
4	knit	knit	knitted	V;PST
7	enwrite	enwrote	enwrited	V;PST
27	garrote	garrotting	garroting	V;V.PTCP;PRS
6	diesel	dieseled	dieselled	V;V.PTCP;PST
16	crossref	crossreffed	crossrefed	V;V.PTCP;PST
5	inbear	inborne	inbeared	V;V.PTCP;PST
9	defeature	featured	defeatured	V;V.PTCP;PST
12	wet	wet	wetted	V;V.PTCP;PST
20	outwear	outworn	outworen	V;V.PTCP;PST
11	withspeak	withspoken	withspeaked	V;V.PTCP;PST
22	disenter	disenterred	disentered	V;V.PTCP;PST
23	shape	shapen	shaped	V;V.PTCP;PST
2	outlead	outled	outleaded	V;V.PTCP;PST
1	inbend	inbent	inbended	V;V.PTCP;PST
14	miscome	miscome	miscomed	V;V.PTCP;PST
18	interlay	interlaid	interlayed	V;V.PTCP;PST
