	lemma	gold	hypo	target tag
10	łéʼéyázhí	aléʼéyázhí	alʼéyázhí	N;PSS0
66	ééʼ	beʼééʼ	yeʼééʼ	N;PSS4;ARGAC3S
69	naaghá	naoohkááh	nooohkaʼ	V;OPT;2;PL
53	yibadooghááh	bibadoohkááh	bibadóohkaʼ	V;OPT;2;PL
24	nidaah	jinódaah	jinóodaah	V;OPT;4;SG/DU/PL
47	yénálniih	béníilniih	bénéiilniih	V;REAL;IPFV/PROG;1;DU/PL
34	yisdéíłʼeeł	yisdéiilʼeeł	yisdį́iilʼeeł	V;REAL;IPFV/PROG;1;DU/PL
32	nidaah	niikeeh	niikah	V;REAL;IPFV/PROG;1;DU/PL
26	iizą́	daʼayiidzą́	daʼiidzą́	V;REAL;IPFV/PROG;1;PL
40	átʼį́	adéiitʼį́	ádeiitʼį́	V;REAL;IPFV/PROG;1;PL
63	yiłąąh	yishłąąh	yishąąh	V;REAL;IPFV/PROG;1;SG
60	náyiilááh	náháshłááh	náhálááh	V;REAL;IPFV/PROG;1;SG
11	akʼeʼelchí	akʼeʼeshchí	akʼeʼashchí	V;REAL;IPFV/PROG;1;SG
4	nayiiłniih	nahashniih	naashniih	V;REAL;IPFV/PROG;1;SG
13	tánéígis	tánáhgis	táánóhgis	V;REAL;IPFV/PROG;2;DU/PL
9	yiłnááh	dadoołnááł	dadoołná	V;REAL;IPFV/PROG;2;PL
8	yénálniih	béénílniih	bénánílniih	V;REAL;IPFV/PROG;2;SG
39	diidiłjeeh	didíłjeeh	didiłjeeh	V;REAL;IPFV/PROG;2;SG
27	yooznah	yisínínah	yidínah	V;REAL;IPFV/PROG;2;SG
23	hashké	hoshíníké	hoshíké	V;REAL;IPFV/PROG;2;SG
41	yiłnááh	deidoołnááł	deiłná	V;REAL;IPFV/PROG;3;PL
55	nidaah	nikeeh	dinidaah	V;REAL;IPFV/PROG;3;PL
50	yilééh	deilééh	daalééh	V;REAL;IPFV/PROG;3;PL
18	yiʼéés	daaʼéés	deiʼéés	V;REAL;IPFV/PROG;3;PL
76	naaghá	ninéiitʼash	niniitʼash	V;REAL;ITER;1;DU/PL
61	yółtaʼ	néíníiltah	néíiltah	V;REAL;ITER;1;DU/PL
73	yooznah	náyooshʼnah	náyooshnah	V;REAL;ITER;1;SG
75	yibadooghááh	bibańdíshdááh	bibańdáshááh	V;REAL;ITER;1;SG
51	yółtaʼ	néínółtah	náhółtah	V;REAL;ITER;2;DU/PL
31	yooznah	náyooʼnah	náyáníʼnah	V;REAL;ITER;2;SG
19	yiʼéésh	dasiitʼeezh	dashiitʼeezh	V;REAL;PFV/PRF;1;PL
54	nidaah	nédá	níshdaaʼ	V;REAL;PFV/PRF;1;SG
42	óolyé	íisisyeʼ	íisyyeʼ	V;REAL;PFV/PRF;1;SG
5	yiijį́į́h	yiishjį́į́ʼ	yiijį́į́ʼ	V;REAL;PFV/PRF;1;SG
71	ádin	áníshdin	ánísdin	V;REAL;PFV/PRF;1;SG
20	nitʼááh	neeshtʼááʼ	níítʼááʼ	V;REAL;PFV/PRF;1;SG
25	naaghá	niséyá	nishásh	V;REAL;PFV/PRF;1;SG
56	hashkeeh	hashohkeeh	hoshohkeeh	V;REAL;PFV/PRF;2;DU/PL
70	nidaah	sinooké	jisdaan	V;REAL;PFV/PRF;2;DU/PL
15	yą́ą́ʼdíłgééd	bą́ą́ʼdoołgeed	bą́ą́ʼdóołgeed	V;REAL;PFV/PRF;2;DU/PL
21	náyiilááh	náhisoolááʼ	náhóhłááʼ	V;REAL;PFV/PRF;2;DU/PL
57	niné	sinooná	nooná	V;REAL;PFV/PRF;2;DU/PL
36	kʼédǫǫh	kʼídasoodǫǫd	kʼídasoohdǫǫd	V;REAL;PFV/PRF;2;PL
14	iitłíísh	adashootłizh	adasootłizh	V;REAL;PFV/PRF;2;PL
