lemma	gold	hypo	target tag
mist	lai mīt	lai mit	V;3;SG;IMP
plēst	plēsīšu	plēsšu	V;1;SG;FUT;IND
kamanas	kamanu	kamanas	N;GEN;PL
rupja vīle	rupjā vīlē	rupja vīlē	N;LOC;SG
nešūt	nešujot	nešūjot	V;V.PTCP;PRS;LGSPEC5
negriezt	negriezīs	negriezs	V;3;PL;FUT;IND
neatvērt	neatvēris	neatveris	V;V.PTCP;PST;ACT
grūsnējais	grūsnējajai	grūsnējai	ADJ;GEN;SG;FEM
uts	utis	uti	N;VOC;PL
laukakmens	laukakmeņos	laukakmenos	N;LOC;PL
nezagt	nebūt jāzog	nebūt jāzag	V;LGSPEC2;IND
dzert	dzērām	dzerām	V;1;PL;PST;IND
augļkopis	augļkopjos	augļkopos	N;LOC;PL
nezināt	nezinu	nezināju	V;1;SG;PRS;IND
virsus	virsi	virsus	N;NOM;PL
neiet	neejams	neieams	V;V.PTCP;PRS;PASS
mest	meta	mēta	V;3;SG;PST;IND
pils	pili	pilu	N;INST;SG
nots	notij	notam	N;DAT;SG
uts	uts	uta	N;GEN;SG
bīties	bijies	bīgās	V;2;SG;PST;IND
šūt	šuvu	šuju	V;1;SG;PST;IND
būt	lai ir	lai būt	V;3;SG;IMP
nespļaut	spļaut	spļaļut	V;NFIN;NEG
apost	lai apožot	lai apodot	V;LGSPEC1;IMP
nedegt	nedegat	nededat	V;2;PL;PRS;IND
