	lemma	gold	hypo	target tag
5	lesbian	lesbieni	lesbienilor	ADJ;DAT/GEN;FEM;SG;INDF
83	sânt	sânților	sânți	ADJ;DAT/GEN;FEM;SG;INDF
86	teoretic	teoreticilor	teoretici	ADJ;DAT/GEN;FEM;SG;INDF
46	bulgar	bulgarule	bulgarului	ADJ;DAT/GEN;MASC;SG;DEF
48	dur	dur	durului	ADJ;DAT/GEN;MASC;SG;INDF
51	sugaci	sugaciului	sugaci	ADJ;DAT/GEN;MASC;SG;INDF
82	alb	alb	albului	ADJ;DAT/GEN;MASC;SG;INDF
2	dulce	dulcii	dulcei	ADJ;DAT/GEN;NEUT;SG;DEF
27	roib	unor roibi	roibe	ADJ;DAT/GEN;NEUT;SG;INDF
21	nevăzut	nevăzuţii	nevăzuții	ADJ;NOM/ACC;FEM;SG;DEF
39	dezgustător	dezgustătorii	dezgustători	ADJ;NOM/ACC;FEM;SG;DEF
42	acid	niște acizi	acizii	ADJ;NOM/ACC;FEM;SG;DEF
71	ipocrit	niște ipocriți	ipocriții	ADJ;NOM/ACC;FEM;SG;DEF
88	antic	niște antici	anticii	ADJ;NOM/ACC;FEM;SG;DEF
76	neașteptat	neașteptaţi	neașteptați	ADJ;NOM/ACC;FEM;SG;INDF
32	aducător	un aducător	aducătorul	ADJ;NOM/ACC;MASC;SG;DEF
1	afgan	definite articulation	afgan	ADJ;NOM/ACC;MASC;SG;INDF
45	străin	definite articulation	străin	ADJ;NOM/ACC;MASC;SG;INDF
9	animal	animalul	animala	ADJ;NOM/ACC;NEUT;SG;DEF
16	ivorian	ivorianul	ivorienul	ADJ;NOM/ACC;NEUT;SG;DEF
23	maro	maroul	maroa	ADJ;NOM/ACC;NEUT;SG;DEF
57	bețiv	bețivul	bețiva	ADJ;NOM/ACC;NEUT;SG;DEF
78	somnambul	somnambulul	somnambula	ADJ;NOM/ACC;NEUT;SG;DEF
100	vânăt	vânăta	vânătul	ADJ;NOM/ACC;NEUT;SG;DEF
103	grăsun	grăsunul	grăsuna	ADJ;NOM/ACC;NEUT;SG;DEF
38	descurcăreț	descurcăreață	descurcăreță	ADJ;NOM/ACC;NEUT;SG;INDF
47	viitor	indefinite articulation	viitoră	ADJ;NOM/ACC;NEUT;SG;INDF
10	gaură	găurilor	gaurelor	N;GEN/DAT;PL;DEF
14	izvor	izvoarelor	izvorilor	N;GEN/DAT;PL;DEF
29	tutun	tutunurilor	tutunilor	N;GEN/DAT;PL;DEF
53	pace	păcii	păcilor	N;GEN/DAT;PL;DEF
