lemma	gold	hypo	target tag
paieškoti	paieškau	paieškou	V;1;SG;PRS;IND
kvarkas	kvarke	kvarkè	N;LOC;SG
lenta	leñtos	lentos	N;VOC;PL
pelėda	pelė́dai	pélėdai	N;DAT;SG
tuščias	tùščio	tuščiõs	ADJ;GEN;SG;MASC;POS
portugalų vandens šuo	portugalų vandens šuns	portugalų vandens šunios	N;GEN;SG
judaizmas	judaizmu	judaizmù	N;INST;SG
naktis	nakties	naktiẽs	N;GEN;SG
vaivorykštė	vaivórykščių	vaivórykštių	N;GEN;PL
šermukšnis	šermukšniùs	šermùkšnius	N;ACC;PL
didelis	didele	didelė	ADJ;VOC;SG;FEM;POS
pradėti	pradedąs	pradįs	V;V.PTCP;PRS;ACT
avėti	avė́jau	avė́jai	V;2;SG;PST;IND
armuo	armuõ	armuo	N;NOM;SG
pulti	tepuola	tepùla	V;3;PL;IMP
duona	duona	duonà	N;NOM;SG
sargas	sárgus	sargùs	N;ACC;PL
gulti	gulì	guli	V;2;SG;PRS;IND
sesuo	sẽseriai	sẽseriui	N;DAT;SG
varis	vãrio	variẽs	N;GEN;SG
oro uostas	óro úostu	oro úostu	N;INST;SG
žadėti	žadate	žadite	V;2;PL;PRS;IND
atstovas	atstovù	atstóvu	N;INST;SG
balsas	bal̃sas	bals̃s	N;NOM;SG
žvakė	žvãkėms	žvakė́ms	N;DAT;PL
vilkas	vil̃ko	vilko	N;GEN;SG
būti	bus	būs	V;3;SG;FUT;IND
metai	metuose	metyje	N;LOC;SG
grindys	griñdys	grindžiaĩ	N;VOC;PL
ūkininkas	ū́kininkuose	ūkiniñkuose	N;LOC;PL
lelija	lelijà	lelìja	N;NOM;SG
blizgėti	blizgu	blizgau	V;1;SG;PRS;IND
ožka	ožkos	óžkos	N;VOC;PL
kopėčios	kópėčias	kópėčius	N;ACC;PL
makštis	mãkštys	makštys	N;NOM;PL
kurti	kūrai	kurei	V;2;SG;PST;IND
dubuo	dùbeniu	dubuo	N;INST;SG
cukrus	cùkrau	cùkre	N;VOC;SG
skulptūra	skulptūrà	skulptūra	N;NOM;SG
skaistažiedė	skaistažiedès	skaistažiedes	N;ACC;PL
sausis	sausiùs	sausis	N;ACC;PL
vabzdys	vãbzdį	vabzdį	N;ACC;SG
