	lemma	gold	hypo	target tag	gloss	error type	description
70	заимствованный	заимствованна	заимствована	ADJ;FEM;SG;LGSPEC1	borrowed 	affix	error in affix application (suffix)
27	бездыханный	бездыханно	бездыхано	ADJ;NEUT;SG;LGSPEC1	breathless 	affix	error in affix application (suffix)
64	согласованный	согласованно	согласовано	ADJ;NEUT;SG;LGSPEC1	agreed 	affix	error in affix application (suffix)
28	оса	осе	осу	N;ACC;ANIM;SG	bee	data	error in Wiktionary data for the accusative form
71	шарлатан	шарлатанов	шарлатаны	N;ACC;PL	charlatan 	affix	error in affix application (suffix/ending)
19	итальянка	итальянок	итальянки	N;ACC;PL	Italian(fem.) 	affix	error in affix application (suffix/ending)
16	квадрант	квадранты	квадрантов	N;ACC;PL	quadrant 	affix	error in affix application (suffix/ending)
13	бабье лето	бабьи лета	бабья лето	N;ACC;PL	Indian summer 	lemma internal structure	error in declension of a noun and inflection of an adjective in a compound word
51	горница	горницы	горниц	N;ACC;PL	 upper room 	affix	error in affix application (suffix/ending)
45	снайпер	снайперов	снайперы	N;ACC;PL	sniper 	affix	error in affix application (suffix/ending)
68	лёгкая промышленность	лёгкие промышленности	лёгких промышленности	N;ACC;PL	 light ndustry 	lemma internal structure	error in inflection of an adjective in a compound word
6	мажор	мажоры	мажоров	N;ACC;PL	major 	affix	error in affix application (suffix/ending)
57	экстрасенс	экстрасенса	экстрасенс	N;ACC;SG	psychic 	affix	error in affix application (suffix/ending)
26	селезень	селезня	селезень	N;ACC;SG	drake 	affix	error in affix application (suffix/ending)
25	магазин	магазин	магазина	N;ACC;SG	shop 	affix	error in affix application (suffix/ending)
36	анофелес	анофелеса	анофелес	N;ACC;SG	anopheles 	affix	error in affix application (suffix/ending)
38	троглодит	троглодита	троглодит	N;ACC;SG	troglodyte 	affix	error in affix application (suffix/ending)
59	изгой	изгоя	изгой	N;ACC;SG	outcast 	affix	error in affix application (suffix/ending)
42	дьявол	дьявола	дьявол	N;ACC;SG	devil 	affix	error in affix application (suffix/ending)
44	дирижабль	дирижабль	дирижабля	N;ACC;SG	zeppelin 	affix	error in affix application (suffix/ending)
50	равносторонний треугольник	равносторонний треугольник	равносторонний треугольн	N;ACC;SG	equilateral triangle 	lemma internal structure	error in declension of a noun in a compound word
34	кумарин	кумарин	кумарина	N;ACC;SG	coumarin 	affix	error in affix application (suffix/ending)
39	прочее	прочим	прочем	N;DAT;PL	other 	affix	error in affix application (suffix/ending)
61	Ермолай	Ермолаю	Емолаю	N;DAT;SG	Ermolay 	copy	error in copying stem by omitting a letter 
52	земледелец	земледельцу	земледелцу	N;DAT;SG	farmer 	stem	error in stem modification
18	человекообразная обезьяна	человекообразной обезьяне	человекообразной обезьян	N;DAT;SG	 ape 	lemma internal structure	error in declension of a noun in a compound word
40	сарафанное радио	сарафанных радио	сарафанных радиях	N;ESS;PL	word of mouth 	lemma internal structure	error in declension of a noun in a compound word
66	государство-донор	государствах-донорах	государство-донорах	N;ESS;PL	state donor 	lemma internal structure	error in declension of a noun in a compound word
8	отмель	отмели	отмеле	N;ESS;SG	shallow 	affix	error in affix application (suffix/ending)
65	пристав-исполнитель	приставов-исполнителей	пристав-исполнителей	N;GEN;PL	bailiff 	lemma internal structure	error in declension of a noun in a compound word
63	серьга	серёг	серьг	N;GEN;PL	earring 	stem	error in stem modification
35	уголье	угольев	уголий	N;GEN;PL	coal	copy	error in copying stem in declension
