lemma	gold	hypo	target tag
yiłní	dabijiní	dajiłní	V;REAL;PFV/PRF;4;PL
yigháʼdíłdlaad	bighádazhʼdeesdláád	bighádazhdiʼníłdláád	V;REAL;PFV/PRF;4;PL
yénálniih	yéédadoolnih	yéédaadlnih	V;REAL;PROSP;3;PL
néíłtsááh	ńdaołtsááh	ńdasoołtsááh	V;REAL;PFV/PRF;2;PL
nayiiłniih	nahashniih	naashniih	V;REAL;IPFV/PROG;1;SG
yiijį́į́h	yiishjį́į́ʼ	yiijį́į́ʼ	V;REAL;PFV/PRF;1;SG
yoodlą́	dayoodlą́	daoodlą́	V;REAL;PFV/PRF;3;PL
átʼé	ánóhtʼée doo	átʼée doo	V;REAL;PROSP;2;DU/PL
yénálniih	béénílniih	bénánílniih	V;REAL;IPFV/PROG;2;SG
yiłnááh	dadoołnááł	dadoołná	V;REAL;IPFV/PROG;2;PL
łéʼéyázhí	aléʼéyázhí	alʼéyázhí	N;PSS0
akʼeʼelchí	akʼeʼeshchí	akʼeʼashchí	V;REAL;IPFV/PROG;1;SG
yibááh	yíbaaʼ	yiyííbaaʼ	V;REAL;PFV/PRF;3;SG/DU/PL
tánéígis	tánáhgis	táánóhgis	V;REAL;IPFV/PROG;2;DU/PL
iitłíísh	adashootłizh	adasootłizh	V;REAL;PFV/PRF;2;PL
yą́ą́ʼdíłgééd	bą́ą́ʼdoołgeed	bą́ą́ʼdóołgeed	V;REAL;PFV/PRF;2;DU/PL
iisááł	íísaal	iisaal	V;REAL;PFV/PRF;3;SG/DU/PL
kʼiidilé	kʼiidíílá	kʼidiizlá	V;REAL;PFV/PRF;3;SG/DU/PL
yiʼéés	daaʼéés	deiʼéés	V;REAL;IPFV/PROG;3;PL
yiʼéésh	dasiitʼeezh	dashiitʼeezh	V;REAL;PFV/PRF;1;PL
nitʼááh	neeshtʼááʼ	níítʼááʼ	V;REAL;PFV/PRF;1;SG
náyiilááh	náhisoolááʼ	náhóhłááʼ	V;REAL;PFV/PRF;2;DU/PL
chʼínádzííd	chʼéédajidzid	chʼéédajizdzid	V;REAL;PFV/PRF;4;PL
hashké	hoshíníké	hoshíké	V;REAL;IPFV/PROG;2;SG
