	lemma	gold	hypo	target tag
5	lesbian	lesbieni	lesbienilor	ADJ;DAT/GEN;FEM;SG;INDF
89	teoretic	teoreticilor	anticii	ADJ;DAT/GEN;FEM;SG;INDF
86	sânt	sânților	buricilor	ADJ;DAT/GEN;FEM;SG;INDF
49	bulgar	bulgarule	durului	ADJ;DAT/GEN;MASC;SG;DEF
51	dur	dur	făgeturile	ADJ;DAT/GEN;MASC;SG;INDF
54	sugaci	sugaciului	păcilor	ADJ;DAT/GEN;MASC;SG;INDF
85	alb	alb	ucidând	ADJ;DAT/GEN;MASC;SG;INDF
2	dulce	dulcii	dulcei	ADJ;DAT/GEN;NEUT;SG;DEF
27	roib	unor roibi	să ajungeam lajorat	ADJ;DAT/GEN;NEUT;SG;INDF
74	ipocrit	niște ipocriți	onorilor	ADJ;NOM/ACC;FEM;SG;DEF
42	dezgustător	dezgustătorii	întâmplează	ADJ;NOM/ACC;FEM;SG;DEF
91	antic	niște antici	pieptănează	ADJ;NOM/ACC;FEM;SG;DEF
21	nevăzut	nevăzuţii	să cumperi	ADJ;NOM/ACC;FEM;SG;DEF
45	acid	niște acizi	menestrelele	ADJ;NOM/ACC;FEM;SG;DEF
79	neașteptat	neașteptaţi	somnambula	ADJ;NOM/ACC;FEM;SG;INDF
32	aducător	un aducător	unei castraveți	ADJ;NOM/ACC;MASC;SG;DEF
1	afgan	definite articulation	afgan	ADJ;NOM/ACC;MASC;SG;INDF
48	străin	definite articulation	viitoră	ADJ;NOM/ACC;MASC;SG;INDF
60	bețiv	bețivul	unei zgarde	ADJ;NOM/ACC;NEUT;SG;DEF
106	grăsun	grăsunul	trifoii	ADJ;NOM/ACC;NEUT;SG;DEF
23	maro	maroul	coas	ADJ;NOM/ACC;NEUT;SG;DEF
103	vânăt	vânăta	să aștepteze	ADJ;NOM/ACC;NEUT;SG;DEF
16	ivorian	ivorianul	unei tamburini	ADJ;NOM/ACC;NEUT;SG;DEF
81	somnambul	somnambulul	cade	ADJ;NOM/ACC;NEUT;SG;DEF
9	animal	animalul	animala	ADJ;NOM/ACC;NEUT;SG;DEF
50	viitor	indefinite articulation	mililitrile	ADJ;NOM/ACC;NEUT;SG;INDF
38	descurcăreț	descurcăreață	izvorilor	ADJ;NOM/ACC;NEUT;SG;INDF
102	deșteptăciune	deșteptăciunii	ștesc	N;GEN/DAT;PL;DEF
39	izvor	izvoarelor	aiură	N;GEN/DAT;PL;DEF
56	pace	păcii	încrederilor	N;GEN/DAT;PL;DEF
58	încredere	încrederii	bețiva	N;GEN/DAT;PL;DEF
76	onoare	onorurilor	metrelor	N;GEN/DAT;PL;DEF
29	tutun	tutunurilor	piticurilor	N;GEN/DAT;PL;DEF
88	buric	buricelor	să ușure	N;GEN/DAT;PL;DEF
64	libertate	libertăților	domele	N;GEN/DAT;PL;DEF
66	doamnă	doamnelor	avea dreptateți	N;GEN/DAT;PL;DEF
71	văduvă	văduvelor	niște psihologii	N;GEN/DAT;PL;DEF
14	izvor	izvoarelor	izvorilor	N;GEN/DAT;PL;DEF
10	gaură	găurilor	gaurelor	N;GEN/DAT;PL;DEF
62	zgardă	unei zgărzi	libertății	N;GEN/DAT;SG;INDF
55	gutuie	unei gutui	să lansez	N;GEN/DAT;SG;INDF
8	îmbrăcăminte	unei îmbrăcăminți	unei îmbrăcăminte	N;GEN/DAT;SG;INDF
43	alivancă	unei alivenci	acizii	N;GEN/DAT;SG;INDF
17	tamburină	unei tamburine	câșlegiule	N;GEN/DAT;SG;INDF
33	castravete	unui castravete	niște caimaci	N;GEN/DAT;SG;INDF
52	mililitru	mililitrii	sugaci	N;NOM/ACC;PL;DEF
101	zară	zara	vânătul	N;NOM/ACC;PL;DEF
0	pugilat	pugilatele	pugilaturile	N;NOM/ACC;PL;DEF
53	făget	făgetele	unei gutuii	N;NOM/ACC;PL;DEF
47	menestrel	menestrelii	bulgarului	N;NOM/ACC;PL;DEF
25	bulangiu	bulangiii	păducheați	N;NOM/ACC;PL;DEF
6	portar	portarii	portarele	N;NOM/ACC;PL;DEF
7	monotrem	niște monotreme	niște monotremi	N;NOM/ACC;SG;INDF
