	lemma	gold	hypo	target tag
70	заимствованный	заимствованна	заимствована	ADJ;FEM;SG;LGSPEC1
27	бездыханный	бездыханно	бездыхано	ADJ;NEUT;SG;LGSPEC1
64	согласованный	согласованно	согласовано	ADJ;NEUT;SG;LGSPEC1
28	оса	осе	осу	N;ACC;ANIM;SG
71	шарлатан	шарлатанов	шарлатаны	N;ACC;PL
19	итальянка	итальянок	итальянки	N;ACC;PL
16	квадрант	квадранты	квадрантов	N;ACC;PL
13	бабье лето	бабьи лета	бабья лето	N;ACC;PL
51	горница	горницы	горниц	N;ACC;PL
45	снайпер	снайперов	снайперы	N;ACC;PL
68	лёгкая промышленность	лёгкие промышленности	лёгких промышленности	N;ACC;PL
6	мажор	мажоры	мажоров	N;ACC;PL
57	экстрасенс	экстрасенса	экстрасенс	N;ACC;SG
26	селезень	селезня	селезень	N;ACC;SG
25	магазин	магазин	магазина	N;ACC;SG
36	анофелес	анофелеса	анофелес	N;ACC;SG
38	троглодит	троглодита	троглодит	N;ACC;SG
59	изгой	изгоя	изгой	N;ACC;SG
42	дьявол	дьявола	дьявол	N;ACC;SG
44	дирижабль	дирижабль	дирижабля	N;ACC;SG
50	равносторонний треугольник	равносторонний треугольник	равносторонний треугольн	N;ACC;SG
34	кумарин	кумарин	кумарина	N;ACC;SG
39	прочее	прочим	прочем	N;DAT;PL
61	Ермолай	Ермолаю	Емолаю	N;DAT;SG
52	земледелец	земледельцу	земледелцу	N;DAT;SG
18	человекообразная обезьяна	человекообразной обезьяне	человекообразной обезьян	N;DAT;SG
40	сарафанное радио	сарафанных радио	сарафанных радиях	N;ESS;PL
66	государство-донор	государствах-донорах	государство-донорах	N;ESS;PL
8	отмель	отмели	отмеле	N;ESS;SG
65	пристав-исполнитель	приставов-исполнителей	пристав-исполнителей	N;GEN;PL
63	серьга	серёг	серьг	N;GEN;PL
35	уголье	угольев	уголий	N;GEN;PL
12	чабрец	чабрецов	чабрцев	N;GEN;PL
2	погремушка	погремушек	погремушок	N;GEN;PL
4	коврижка	коврижек	коврижок	N;GEN;PL
10	загрузка	загрузк	загрузок	N;GEN;PL
15	синдром Аспергера	синдромов Аспергера	синдромов Аспергер	N;GEN;PL
9	растеря	растери	растеря	N;GEN;SG
11	эмаль	эмали	эмаля	N;GEN;SG
0	млекопитающее	млекопитающим	млекопитающем	N;INS;SG
31	албанский	албанского	албанский	N;NOM;SG
46	пожечь	пожёгший	пожекший	V.PTCP;ACT;PST
41	сердить	серженный	сердённый	V.PTCP;PASS;PST
1	отклонить	отклонённый	отклонленный	V.PTCP;PASS;PST
62	затрудняться	будем затрудняться	затрудняемся	V;FUT;1;PL
23	ладить	буду ладить	лажу	V;FUT;1;SG
48	исследоваться	буду исследоваться	исследуюсь	V;FUT;1;SG
56	подвыпить	подвыпью	подвыплю	V;FUT;1;SG
33	пронизать	пронижете	будете пронизать	V;FUT;2;PL
30	заколоть	будешь заколоть	заколешь	V;FUT;2;SG
5	взвиться	взовьются	взвятся	V;FUT;3;PL
17	растить	будут растить	растят	V;FUT;3;PL
7	пропитаться	будет пропитаться	пропитается	V;FUT;3;SG
22	свершаться	будет свершаться	свершится	V;FUT;3;SG
21	ассоциироваться	будет ассоциироваться	ассоциируется	V;FUT;3;SG
43	изжить	изживет	изжит	V;FUT;3;SG
20	светать	будет светать	светает	V;FUT;3;SG
54	рыбачить	будет рыбачить	рыбачит	V;FUT;3;SG
37	прозвать	прозовет	прозвает	V;FUT;3;SG
58	халтурить	халтурьте	халтурите	V;IMP;2;PL
49	сосредоточиться	сосредоточьтесь	сосредоточитесь	V;IMP;2;PL
67	обшарить	обшарьте	обшарите	V;IMP;2;PL
53	копить	копи	копь	V;IMP;2;SG
69	подпереть	подопри	подперей	V;IMP;2;SG
24	подбежать	подбеги	подбежи	V;IMP;2;SG
47	измяться	изомнись	измяйся	V;IMP;2;SG
55	скорбеть	скорбим	скорбеем	V;PRS;1;PL
29	стелить	стелем	стелим	V;PRS;1;PL
32	гнить	гниём	гним	V;PRS;1;PL
14	плестись	плетутся	плесутся	V;PRS;3;PL
3	гнить	гниёт	гнит	V;PRS;3;SG
60	поплестись	поплёлся	поплесся	V;PST;SG;MASC
