Errors: 72 total errors. 55% of errors in endings

Stem change

1. 'отклонить', 'отклонённый', 'отклонленный'
2. 'плестись', 'плетутся', 'плесутся
3. 'подбежать', 'подбеги', 'подбежи
4. 'прозвать', 'прозовет', 'прозвает'
5. 'сердить', 'серженный', 'сердённый'
6. 'пожечь', 'пожёгший', 'пожекший'
7. измяться', 'изомнись', 'измяйся
8. земледелец', 'земледельцу', 'земледелцу
9. 'поплестись', 'поплёлся', 'поплесся'
10. 'Ермолай', 'Ермолаю', 'Емолаю'
11. серьга', 'серёг', 'серьг
12. подпереть', 'подопри', 'подперей'

Suffix

1. 'погремушка', 'погремушек', 'погремушок'
2. коврижка', 'коврижек', 'коврижок')
3. взвиться', 'взовьются', 'взвятся
4. 'загрузка', 'загрузк', 'загрузок'
5. бездыханный', 'бездыханно', 'бездыхано
6. подвыпить', 'подвыпью', 'подвыплю
7. 'халтурить', 'халтурьте', 'халтурите'
8. согласованный', 'согласованно', 'согласовано
9. обшарить', 'обшарьте', 'обшарите
10. 'заимствованный', 'заимствованна', 'заимствована'

Ending

1. 'млекопитающее', 'млекопитающим', 'млекопитающем'
2. 'гнить', 'гниёт', 'гнит'
3. мажор', 'мажоры', 'мажоров
4. 'отмель', 'отмели', 'отмеле
5. растеря', 'растери', 'растеря'
6. 'эмаль', 'эмали', 'эмаля
7. чабрец', 'чабрецов', 'чабрцев
8. бабье лето', 'бабьи лета', 'бабья лето
9. 'синдром Аспергера', 'синдромов Аспергера', 'синдромов Аспергер'
10. 'квадрант', 'квадранты', 'квадрантов'
11. 'человекообразная обезьяна', 'человекообразной обезьяне', 'человекообразной обезьян
12. 'итальянка', 'итальянок', 'итальянки
13. магазин', 'магазин', 'магазина'
14. 'селезень', 'селезня', 'селезень'
15. оса', 'осе', 'осу
16. стелить', 'стелем', 'стелим'
17. 'албанский', 'албанского', 'албанский'
18. гнить', 'гниём', 'гним
19. 'кумарин', 'кумарин', 'кумарина'
20. 'уголье', 'угольев', 'уголий'
21. анофелес', 'анофелеса', 'анофелес
22. 'троглодит', 'троглодита', 'троглодит'
23. прочее', 'прочим', 'прочем'
24. сарафанное радио', 'сарафанных радио', 'сарафанных радиях
25. 'дьявол', 'дьявола', 'дьявол
26. ('изжить', 'изживет', 'изжит')
27. 'дирижабль', 'дирижабль', 'дирижабля'
28. снайпер', 'снайперов', 'снайперы'
29. 'сосредоточиться', 'сосредоточьтесь', 'сосредоточитесь'
30. равносторонний треугольник', 'равносторонний треугольник', 'равносторонний треугольн
31. горница', 'горницы', 'горниц'
32. копить', 'копи', 'копь
33. 'скорбеть', 'скорбим', 'скорбеем
34. 'экстрасенс', 'экстрасенса', 'экстрасенс'
35. 'изгой', 'изгоя', 'изгой'
36. 'пристав-исполнитель', 'приставов-исполнителей', 'пристав-исполнителей
37. государство-донор', 'государствах-донорах', 'государство-донорах
38. лёгкая промышленность', 'лёгкие промышленности', 'лёгких промышленности
39. 'шарлатан', 'шарлатанов', 'шарлатаны

Prefix
None

Other (tense forms)
1. пропитаться', 'будет пропитаться', 'пропитается'
2. растить', 'будут растить', 'растят'
3. светать', 'будет светать', 'светает
4. 'ассоциироваться', 'будет ассоциироваться', 'ассоциируется'
5. свершаться', 'будет свершаться', 'свершится'
6. 'ладить', 'буду ладить', 'лажу'
7. 'заколоть', 'будешь заколоть', 'заколешь'
8. 'пронизать', 'пронижете', 'будете пронизать
9. исследоваться', 'буду исследоваться', 'исследуюсь'
10. рыбачить', 'будет рыбачить', 'рыбачит
11. затрудняться', 'будем затрудняться', 'затрудняемся
